,Date,Adj Return Delta 1,CDS Premium,CDS Spread,CDS Premium Change Delta 1,Riskfree,Riskfree_change,Levered_FCF_1_year,Perpetuity_Growth,PER,PBR,event calendar,time_idx,ticker,sector
755,2023-07-03,-0.007815203382214326,0.00110805,0.0007224200000000001,0.3429000000000002,0.054400000000000004,-0.0022186623177237836,21182.28125,0.04,29.638729016129034,42.839219403225805,normal,1097,AAPL,information technology
1530,2023-07-03,-0.0075164824528157525,0.0008015800000000001,0.0005385199999999999,0.0022999999999999687,0.054400000000000004,-0.0022186623177237836,10707.0,0.04,28.165531951612902,10.494031983870968,normal,1097,MSFT,information technology
2305,2023-07-03,-0.013196875276127649,0.00101571,0.0009992,0.9018999999999995,0.054400000000000004,-0.0022186623177237836,3243.6125,0.02,23.626843467741935,5.5834496935483875,normal,1097,JNJ,health care
3080,2023-07-03,-0.005758936227173119,0.00151275,0.00099916,-1.5486000000000022,0.054400000000000004,-0.0022186623177237836,8621.44375,0.02,22.899569435483873,5.744571080645161,normal,1097,UNH,health care
3855,2023-07-03,0.005960293787697314,0.00121017,0.0008670300000000001,-1.7003000000000004,0.054400000000000004,-0.0022186623177237836,1958.61875,0.02,27.13264464516129,11.157993258064517,normal,1097,KO,consumer staples
4630,2023-07-03,-0.001997795264183359,0.00121609,-0.0006898,-0.1053999999999995,0.054400000000000004,-0.0022186623177237836,2393.9375,0.01,18.44803685483871,222.52450832258066,normal,1097,HD,consumer discretionary
5405,2023-07-03,0.007352474756612755,0.00078065,0.0010011199999999999,-0.30799999999999983,0.054400000000000004,-0.0022186623177237836,927.625,0.01,18.082187,10.3044005,normal,1097,UNP,industrials
6180,2023-07-03,-0.0011372537183960906,0.0043425899999999995,0.0019355000000000004,-0.24399999999999977,0.054400000000000004,-0.0022186623177237836,1546.6937499999992,0.01,999.0,999.0,normal,1097,BA,industrials
6955,2023-07-03,0.004995912626969069,0.0016782,0.0009943699999999998,1.0686999999999998,0.054400000000000004,-0.0022186623177237836,2839.0,0.02,25.05824035483871,7.749898467741936,normal,1097,PG,consumer staples
7730,2023-07-03,0.006468412800394195,0.0011544600000000002,0.0009278600000000001,-0.022799999999998377,0.054400000000000004,-0.0022186623177237836,5263.40625,0.02,35.908439483870964,5.468620322580645,normal,1097,WMT,consumer discretionary
8505,2023-07-03,0.00195607144325459,0.00096647,0.00075362,-0.8947000000000003,0.054400000000000004,-0.0022186623177237836,12045.5625,0.01,8.560165483870968,2.356003322580645,normal,1097,XOM,energy
9280,2023-07-03,-0.0008900955237153623,0.00115031,0.00158549,-0.1479999999999997,0.054400000000000004,-0.0022186623177237836,7560.65625,0.01,9.274046387096774,2.0317431612903225,normal,1097,CVX,energy
10055,2023-07-03,0.013214027502785821,0.00141599,-0.0008028299999999999,1.1628000000000007,0.054400000000000004,-0.0022186623177237836,-904.575,0.01,19.56345714516129,1.949190758064516,normal,1097,AEP,utilities
10830,2023-07-03,0.010861283547826535,0.00271721,0.0005801100000000002,-1.0761000000000003,0.054400000000000004,-0.0022186623177237836,-1134.875,0.01,20.02659329032258,1.5905911451612904,normal,1097,DUK,utilities
11605,2023-07-03,0.005655703598018649,0.0056530700000000005,0.0016174700000000002,-3.739599999999996,0.054400000000000004,-0.0022186623177237836,1172.425,0.02,42.1660934516129,16.36257835483871,normal,1097,AMT,real estate
12380,2023-07-03,0.013418285384629884,0.00947511,0.0008561700000000002,-1.7670000000000101,0.054400000000000004,-0.0022186623177237836,520.1270625,0.02,18.94666630645161,12.796794096774194,normal,1097,SPG,real estate
