Date,CPI
3/24/1949,23.91
4/22/1949,23.92
5/23/1949,23.91
6/24/1949,23.92
7/22/1949,23.7
8/26/1949,23.7
9/28/1949,23.75
10/28/1949,23.67
11/28/1949,23.7
12/28/1949,23.61
1/26/1950,23.51
2/24/1950,23.61
3/25/1950,23.64
4/22/1950,23.65
5/20/1950,23.77
6/25/1950,23.88
7/22/1950,24.07
8/23/1950,24.2
9/24/1950,24.34
10/24/1950,24.5
11/29/1950,24.6
12/23/1950,24.98
1/25/1951,25.38
3/2/1951,25.83
3/24/1951,25.88
4/20/1951,25.92
5/23/1951,25.99
6/27/1951,25.93
7/26/1951,25.91
8/24/1951,25.86
9/21/1951,26.03
10/25/1951,26.16
11/23/1951,26.32
12/21/1951,26.47
1/25/1952,26.45
2/26/1952,26.41
3/21/1952,26.39
4/22/1952,26.46
5/22/1952,26.47
6/19/1952,26.53
7/24/1952,26.68
8/21/1952,26.69
9/19/1952,26.63
10/24/1952,26.69
11/21/1952,26.69
12/19/1952,26.71
1/16/1953,26.64
2/27/1953,26.59
3/26/1953,26.63
4/22/1953,26.69
5/22/1953,26.7
6/23/1953,26.77
7/22/1953,26.79
8/26/1953,26.85
9/23/1953,26.89
10/28/1953,26.95
11/25/1953,26.85
12/23/1953,26.87
1/22/1954,26.94
2/26/1954,26.99
3/24/1954,26.93
4/22/1954,26.86
5/21/1954,26.93
6/22/1954,26.94
7/23/1954,26.86
8/20/1954,26.85
9/24/1954,26.81
10/26/1954,26.72
11/24/1954,26.78
12/22/1954,26.77
1/21/1955,26.77
2/25/1955,26.82
3/23/1955,26.79
4/22/1955,26.79
5/20/1955,26.77
6/23/1955,26.71
7/26/1955,26.76
8/23/1955,26.72
9/23/1955,26.85
10/21/1955,26.82
11/22/1955,26.88
12/21/1955,26.87
1/20/1956,26.83
2/24/1956,26.86
3/26/1956,26.89
4/25/1956,26.93
5/24/1956,27.03
6/26/1956,27.15
7/24/1956,27.29
8/24/1956,27.31
9/21/1956,27.35
10/25/1956,27.51
11/26/1956,27.51
12/21/1956,27.63
1/25/1957,27.67
2/21/1957,27.8
3/22/1957,27.86
4/23/1957,27.93
5/24/1957,28
6/25/1957,28.11
7/24/1957,28.19
8/22/1957,28.28
9/24/1957,28.32
10/25/1957,28.32
11/22/1957,28.41
12/20/1957,28.47
1/21/1958,28.64
2/25/1958,28.7
3/21/1958,28.87
4/23/1958,28.94
5/22/1958,28.94
6/24/1958,28.91
7/23/1958,28.89
8/22/1958,28.94
9/19/1958,28.91
10/23/1958,28.91
11/25/1958,28.95
12/23/1958,28.97
1/23/1959,29.01
2/20/1959,29
3/25/1959,28.97
4/22/1959,28.98
5/22/1959,29.04
6/19/1959,29.11
7/22/1959,29.15
8/21/1959,29.18
9/23/1959,29.25
10/23/1959,29.35
11/25/1959,29.35
12/22/1959,29.41
1/22/1960,29.37
2/25/1960,29.41
3/25/1960,29.41
4/25/1960,29.54
5/25/1960,29.57
6/24/1960,29.61
7/22/1960,29.55
8/25/1960,29.61
9/23/1960,29.61
10/26/1960,29.75
11/25/1960,29.78
12/23/1960,29.81
1/27/1961,29.84
2/28/1961,29.84
3/24/1961,29.84
4/26/1961,29.81
5/25/1961,29.84
6/27/1961,29.84
7/25/1961,29.92
8/25/1961,29.94
9/26/1961,29.98
10/25/1961,29.98
11/28/1961,29.98
12/22/1961,30.01
1/26/1962,30.04
2/28/1962,30.11
3/27/1962,30.17
4/24/1962,30.21
5/25/1962,30.24
6/26/1962,30.21
7/25/1962,30.22
8/28/1962,30.28
9/25/1962,30.42
10/26/1962,30.38
11/28/1962,30.38
12/21/1962,30.38
1/25/1963,30.44
2/27/1963,30.48
3/27/1963,30.51
4/25/1963,30.48
5/28/1963,30.51
6/26/1963,30.61
7/26/1963,30.69
8/27/1963,30.75
9/25/1963,30.72
10/30/1963,30.75
11/29/1963,30.78
12/27/1963,30.88
1/29/1964,30.94
3/3/1964,30.91
3/31/1964,30.94
4/30/1964,30.95
5/28/1964,30.98
6/26/1964,31.01
7/31/1964,31.02
8/28/1964,31.05
9/30/1964,31.08
10/30/1964,31.12
11/30/1964,31.21
12/30/1964,31.25
1/28/1965,31.28
2/26/1965,31.28
3/30/1965,31.31
4/28/1965,31.38
5/27/1965,31.48
6/30/1965,31.61
7/29/1965,31.58
8/27/1965,31.55
9/29/1965,31.62
10/28/1965,31.65
11/30/1965,31.75
12/30/1965,31.85
1/27/1966,31.88
2/28/1966,32.08
3/29/1966,32.18
4/21/1966,32.28
5/20/1966,32.35
6/21/1966,32.38
7/21/1966,32.45
8/22/1966,32.65
9/22/1966,32.75
10/20/1966,32.85
11/23/1966,32.88
12/22/1966,32.92
1/20/1967,32.9
2/20/1967,33
3/20/1967,33
4/26/1967,33.1
5/23/1967,33.1
6/28/1967,33.3
7/26/1967,33.4
8/25/1967,33.5
9/27/1967,33.6
10/26/1967,33.7
11/29/1967,33.9
12/22/1967,34
1/25/1968,34.1
2/29/1968,34.2
3/27/1968,34.3
4/26/1968,34.4
5/28/1968,34.5
6/28/1968,34.7
7/31/1968,34.9
8/27/1968,35
9/26/1968,35.1
10/29/1968,35.3
11/27/1968,35.4
12/27/1968,35.6
1/29/1969,35.7
2/25/1969,35.8
3/25/1969,36.1
4/24/1969,36.3
5/22/1969,36.4
6/24/1969,36.6
7/23/1969,36.8
8/22/1969,36.9
9/22/1969,37.1
10/22/1969,37.3
11/21/1969,37.5
12/19/1969,37.7
1/19/1970,37.9
2/19/1970,38.1
3/20/1970,38.3
4/22/1970,38.5
5/20/1970,38.6
6/18/1970,38.8
7/21/1970,38.9
8/21/1970,39
9/19/1970,39.2
10/21/1970,39.4
11/20/1970,39.6
12/23/1970,39.8
1/29/1971,39.9
2/19/1971,39.9
3/19/1971,40
4/22/1971,40.1
5/21/1971,40.3
6/22/1971,40.5
7/22/1971,40.6
8/20/1971,40.7
9/22/1971,40.8
10/22/1971,40.9
11/19/1971,41
12/22/1971,41.1
1/21/1972,41.2
2/23/1972,41.4
3/22/1972,41.4
4/21/1972,41.5
5/19/1972,41.6
6/21/1972,41.7
7/21/1972,41.8
8/22/1972,41.9
9/22/1972,42.1
10/20/1972,42.2
11/21/1972,42.4
12/22/1972,42.5
1/23/1973,42.7
2/22/1973,43
3/21/1973,43.4
4/20/1973,43.7
5/22/1973,43.9
6/21/1973,44.2
7/20/1973,44.2
8/21/1973,45
9/21/1973,45.2
10/19/1973,45.6
11/21/1973,45.9
12/21/1973,46.3
1/22/1974,46.8
2/22/1974,47.3
3/21/1974,47.8
4/19/1974,48.1
5/21/1974,48.6
6/21/1974,49
7/19/1974,49.3
8/21/1974,49.9
9/20/1974,50.6
10/22/1974,51
11/21/1974,51.5
12/20/1974,51.9
1/21/1975,52.3
2/21/1975,52.6
3/20/1975,52.8
4/22/1975,53
5/21/1975,53.1
6/20/1975,53.5
7/22/1975,54
8/21/1975,54.2
9/19/1975,54.6
10/22/1975,54.9
11/20/1975,55.3
12/19/1975,55.6
1/21/1976,55.8
2/20/1976,55.9
3/19/1976,56
4/21/1976,56.1
5/21/1976,56.4
6/22/1976,56.7
7/21/1976,57
8/20/1976,57.3
9/21/1976,57.6
10/21/1976,57.9
11/19/1976,58.1
12/21/1976,58.4
1/19/1977,58.7
2/18/1977,59.3
3/18/1977,59.6
4/21/1977,60
5/20/1977,60.2
6/21/1977,60.5
7/21/1977,60.8
8/19/1977,61.1
9/21/1977,61.3
10/21/1977,61.6
11/22/1977,62
12/21/1977,62.3
1/20/1978,62.7
2/27/1978,63
3/28/1978,63.4
4/28/1978,63.9
5/31/1978,64.5
6/30/1978,65
7/28/1978,65.5
8/29/1978,65.9
9/26/1978,66.5
10/26/1978,67.1
11/28/1978,67.5
12/22/1978,67.9
1/24/1979,68.5
2/23/1979,69.2
3/23/1979,69.9
4/26/1979,70.6
5/25/1979,71.4
6/26/1979,72.2
7/26/1979,73
8/24/1979,73.7
9/25/1979,74.4
10/26/1979,75.2
11/27/1979,76
12/21/1979,76.9
1/25/1980,78
2/22/1980,79
3/25/1980,80.1
4/22/1980,80.9
5/23/1980,81.7
6/24/1980,82.5
7/23/1980,82.6
8/22/1980,83.2
9/23/1980,83.9
10/24/1980,84.7
11/25/1980,85.6
12/23/1980,86.4
1/23/1981,87.2
2/25/1981,88
3/24/1981,88.6
4/23/1981,89.1
5/22/1981,89.7
6/23/1981,90.5
7/23/1981,91.5
8/25/1981,92.2
9/24/1981,93.1
10/23/1981,93.4
11/24/1981,93.8
12/22/1981,94.1
1/22/1982,94.4
2/25/1982,94.7
3/23/1982,94.7
4/23/1982,95
5/21/1982,95.9
6/22/1982,97
7/23/1982,97.5
8/24/1982,97.7
9/23/1982,97.7
10/26/1982,98.1
11/23/1982,98
12/21/1982,97.7
1/21/1983,97.9
2/25/1983,98
3/23/1983,98.1
4/22/1983,98.8
5/24/1983,99.2
6/22/1983,99.4
7/22/1983,99.8
8/23/1983,100.1
9/23/1983,100.4
10/25/1983,100.8
11/23/1983,101.1
12/21/1983,101.4
1/24/1984,102.1
2/24/1984,102.6
3/23/1984,102.9
4/24/1984,103.3
5/22/1984,103.5
6/22/1984,103.7
7/24/1984,104.1
8/22/1984,104.4
9/21/1984,104.7
10/24/1984,105.1
11/21/1984,105.3
12/20/1984,105.5
1/23/1985,105.7
2/26/1985,106.3
3/22/1985,106.8
4/23/1985,107
5/21/1985,107.2
6/20/1985,107.5
7/23/1985,107.7
8/22/1985,107.9
9/24/1985,108.1
10/23/1985,108.5
11/22/1985,109
12/20/1985,109.5
1/22/1986,109.9
2/25/1986,109.7
3/25/1986,109.1
4/22/1986,108.7
5/21/1986,109
6/20/1986,109.4
7/23/1986,109.5
8/21/1986,109.6
9/23/1986,110
10/23/1986,110.2
11/25/1986,110.4
12/19/1986,110.8
1/21/1987,111.4
2/27/1987,111.8
3/27/1987,112.2
4/24/1987,112.7
5/22/1987,113
6/23/1987,113.5
7/22/1987,113.8
8/21/1987,114.3
9/23/1987,114.7
10/23/1987,115
11/20/1987,115.4
12/18/1987,115.6
1/20/1988,116
2/26/1988,116.2
3/23/1988,116.5
4/20/1988,117.2
5/20/1988,117.5
6/21/1988,118
7/22/1988,118.5
8/23/1988,119
9/21/1988,119.5
10/21/1988,119.9
11/22/1988,120.3
12/20/1988,120.7
1/19/1989,121.2
2/22/1989,121.6
3/21/1989,122.2
4/18/1989,123.1
5/18/1989,123.7
6/16/1989,124.1
7/19/1989,124.5
8/18/1989,124.5
9/19/1989,124.8
10/19/1989,125.4
11/21/1989,125.9
12/19/1989,126.3
1/18/1990,127.5
2/21/1990,128
3/20/1990,128.6
4/17/1990,128.9
5/16/1990,129.1
6/15/1990,129.9
7/18/1990,130.5
8/16/1990,131.6
9/18/1990,132.5
10/18/1990,133.4
11/16/1990,133.7
12/18/1990,134.2
1/16/1991,134.7
2/20/1991,134.8
3/19/1991,134.8
4/12/1991,135.1
5/14/1991,135.6
6/14/1991,136
7/17/1991,136.2
8/14/1991,136.6
9/13/1991,137
10/17/1991,137.2
11/14/1991,137.8
12/13/1991,138.2
1/16/1992,138.3
2/19/1992,138.6
3/17/1992,139.1
4/10/1992,139.4
5/13/1992,139.7
6/12/1992,140.1
7/14/1992,140.5
8/13/1992,140.8
9/15/1992,141.1
10/15/1992,141.7
11/13/1992,142.1
12/13/1992,142.3
1/15/1993,142.8
2/18/1993,143.1
3/17/1993,143.3
4/9/1993,143.8
5/13/1993,144.2
6/15/1993,144.3
7/14/1993,144.5
8/13/1993,144.8
9/14/1993,145
10/15/1993,145.6
11/10/1993,146
12/10/1993,146.3
1/13/1994,146.3
2/17/1994,146.7
3/16/1994,147.1
4/13/1994,147.2
5/13/1994,147.5
6/14/1994,147.9
7/13/1994,148.4
8/12/1994,149
9/13/1994,149.3
10/14/1994,149.4
11/16/1994,149.8
12/14/1994,150.1
1/11/1995,150.5
2/15/1995,150.9
3/16/1995,151.2
4/12/1995,151.8
5/12/1995,152.1
6/13/1995,152.4
7/14/1995,152.6
8/11/1995,152.9
9/13/1995,153.1
10/13/1995,153.5
11/15/1995,153.7
12/14/1995,153.9
2/1/1996,154.7
2/28/1996,155
3/15/1996,155.5
4/12/1996,156.1
5/14/1996,156.4
6/12/1996,156.7
7/16/1996,157
8/13/1996,157.2
9/13/1996,157.7
10/16/1996,158.2
11/14/1996,158.7
12/12/1996,159.1
1/14/1997,159.4
2/19/1997,159.7
3/19/1997,159.8
4/15/1997,159.9
5/15/1997,159.9
6/17/1997,160.2
7/16/1997,160.4
8/14/1997,160.8
9/16/1997,161.2
10/16/1997,161.5
11/18/1997,161.7
12/16/1997,161.8
1/13/1998,162
2/24/1998,162
3/19/1998,162
4/14/1998,162.2
5/14/1998,162.6
6/16/1998,162.8
7/14/1998,163.2
8/18/1998,163.4
9/17/1998,163.5
10/16/1998,163.9
11/17/1998,164.1
12/15/1998,164.4
1/14/1999,164.7
2/19/1999,164.7
3/18/1999,164.8
4/13/1999,165.9
5/14/1999,166
6/16/1999,166
7/15/1999,166.7
8/17/1999,167.1
9/15/1999,167.8
10/19/1999,168.1
11/17/1999,168.4
12/14/1999,168.8
1/14/2000,169.3
2/29/2000,170
3/17/2000,171
4/14/2000,170.9
5/16/2000,171.2
6/14/2000,172.2
7/18/2000,172.7
8/16/2000,172.7
9/28/2000,173.6
10/18/2000,173.9
11/16/2000,174.2
12/15/2000,174.6
1/17/2001,175.6
2/21/2001,176
3/21/2001,176.1
4/17/2001,176.4
5/16/2001,177.3
6/15/2001,177.7
7/18/2001,177.4
8/16/2001,177.4
9/18/2001,178.1
10/19/2001,177.6
11/16/2001,177.5
12/14/2001,177.4
1/16/2002,177.7
2/20/2002,178
3/21/2002,178.5
4/16/2002,179.3
5/15/2002,179.5
6/18/2002,179.6
7/19/2002,180
8/16/2002,180.5
9/18/2002,180.8
10/18/2002,181.2
11/19/2002,181.5
12/17/2002,181.8
1/16/2003,182.6
2/21/2003,183.6
3/21/2003,183.9
4/16/2003,183.2
5/16/2003,182.9
6/17/2003,183.1
7/16/2003,183.7
8/15/2003,184.5
9/16/2003,185.1
10/16/2003,184.9
11/18/2003,185
12/16/2003,185.5
1/15/2004,186.3
2/20/2004,186.7
3/17/2004,187.1
4/14/2004,187.4
5/14/2004,188.2
6/15/2004,188.9
7/16/2004,189.1
8/17/2004,189.2
9/16/2004,189.8
10/19/2004,190.8
11/17/2004,191.7
12/17/2004,191.7
1/19/2005,191.6
2/23/2005,192.4
3/23/2005,193.1
4/20/2005,193.7
5/18/2005,193.6
6/15/2005,193.7
7/14/2005,194.9
8/16/2005,196.1
9/15/2005,198.8
10/14/2005,199.1
11/16/2005,198.1
12/15/2005,198.1
1/18/2006,199.3
2/22/2006,199.4
3/16/2006,199.7
4/19/2006,200.7
5/17/2006,201.3
6/14/2006,201.8
7/19/2006,202.9
8/16/2006,203.8
9/15/2006,202.8
10/18/2006,201.9
11/16/2006,202
12/15/2006,203.1
1/18/2007,203.437
2/21/2007,204.226
3/16/2007,205.288
4/17/2007,205.904
5/15/2007,206.755
6/15/2007,207.234
7/18/2007,207.603
8/15/2007,207.667
9/19/2007,208.547
10/17/2007,209.19
11/15/2007,210.834
12/14/2007,211.445
1/16/2008,212.174
2/20/2008,212.687
3/14/2008,213.448
4/16/2008,213.942
5/14/2008,215.208
6/13/2008,217.463
7/16/2008,219.016
8/14/2008,218.69
9/16/2008,218.877
10/16/2008,216.995
11/19/2008,213.153
12/16/2008,211.398
1/16/2009,211.933
2/20/2009,212.705
3/18/2009,212.495
4/15/2009,212.709
5/15/2009,213.022
6/17/2009,214.79
7/15/2009,214.726
8/14/2009,215.445
9/16/2009,215.861
10/15/2009,216.509
11/18/2009,217.234
12/16/2009,217.347
1/15/2010,217.488
2/19/2010,217.281
3/18/2010,217.353
4/14/2010,217.403
5/19/2010,217.29
6/17/2010,217.199
7/16/2010,217.605
8/13/2010,217.923
9/17/2010,218.275
10/15/2010,219.035
11/17/2010,219.59
12/15/2010,220.472
1/14/2011,221.187
2/17/2011,221.898
3/17/2011,223.046
4/15/2011,224.093
5/13/2011,224.806
6/15/2011,224.806
7/15/2011,225.395
8/18/2011,226.106
9/15/2011,226.597
10/19/2011,226.75
11/16/2011,227.169
12/16/2011,227.223
1/19/2012,227.842
2/17/2012,228.329
3/16/2012,228.807
4/13/2012,229.187
5/15/2012,228.713
6/14/2012,228.524
7/17/2012,228.59
8/15/2012,229.918
9/14/2012,231.015
10/16/2012,231.638
11/15/2012,231.249
12/14/2012,231.221
1/16/2013,231.679
2/21/2013,232.937
3/15/2013,232.282
4/16/2013,231.797
5/16/2013,231.893
6/18/2013,232.445
7/16/2013,232.9
8/15/2013,233.456
9/17/2013,233.544
10/30/2013,233.669
11/20/2013,234.1
12/17/2013,234.719
1/16/2014,235.288
2/20/2014,235.547
3/18/2014,236.028
4/15/2014,236.468
5/15/2014,236.918
6/17/2014,237.231
7/22/2014,237.498
8/19/2014,237.46
9/17/2014,237.477
10/22/2014,237.43
11/20/2014,236.983
12/17/2014,236.252
1/16/2015,234.747
2/26/2015,235.342
3/24/2015,235.976
4/17/2015,236.222
5/22/2015,237.001
6/18/2015,237.657
7/17/2015,238.034
8/19/2015,238.033
9/16/2015,237.498
10/15/2015,237.733
11/17/2015,238.017
12/15/2015,237.761
1/20/2016,237.652
2/19/2016,237.336
3/16/2016,238.08
4/14/2016,238.992
5/17/2016,239.557
6/16/2016,240.222
7/15/2016,240.101
8/16/2016,240.545
9/16/2016,241.176
10/18/2016,241.741
11/17/2016,242.026
12/15/2016,242.637
1/18/2017,243.618
2/15/2017,244.006
3/15/2017,243.892
4/14/2017,244.193
5/12/2017,244.004
6/14/2017,244.163
7/14/2017,244.243
8/11/2017,245.183
9/14/2017,246.435
10/13/2017,246.626
11/15/2017,247.284
12/13/2017,247.805
1/12/2018,248.859
2/14/2018,249.529
3/13/2018,249.577
4/11/2018,250.227
5/10/2018,250.792
6/12/2018,251.018
7/12/2018,251.214
8/10/2018,251.663
9/13/2018,252.182
10/11/2018,252.772
11/14/2018,252.594
12/12/2018,252.767
1/11/2019,252.561
2/13/2019,253.319
3/12/2019,254.277
4/10/2019,255.233
5/10/2019,255.296
6/12/2019,255.213
7/11/2019,255.802
8/13/2019,256.036
9/12/2019,256.43
10/10/2019,257.155
11/13/2019,257.879
12/11/2019,258.63
1/14/2020,258.906
2/13/2020,259.246
3/11/2020,258.15
4/10/2020,256.126
5/12/2020,255.848
6/10/2020,257.004
7/14/2020,258.408
8/12/2020,259.366
9/11/2020,259.951
10/13/2020,260.249
11/12/2020,260.895
12/10/2020,262.005
1/13/2021,262.518
2/10/2021,263.583
3/10/2021,264.91
4/13/2021,266.752
5/12/2021,268.452
6/10/2021,270.664
7/13/2021,271.994
8/11/2021,272.789
9/14/2021,273.887
10/13/2021,276.434
11/10/2021,278.799
12/10/2021,280.808
1/12/2022,282.39
2/10/2022,284.535
3/10/2022,287.553
4/12/2022,288.764
5/11/2022,291.359
6/10/2022,294.996
7/13/2022,294.977
8/10/2022,295.209
9/13/2022,296.341
10/13/2022,297.863
11/10/2022,298.648
12/13/2022,298.812
1/12/2023,300.356
2/14/2023,301.509
3/14/2023,301.744
4/12/2023,303.032
5/10/2023,303.365
6/13/2023,304.003
7/12/2023,304.628
8/10/2023,306.187
9/13/2023,307.288
10/12/2023,307.531
11/14/2023,308.024
