Date,Open,High,Low,Close,Adj Close,Volume
1998-02-27,17.375000,18.000000,17.375000,17.375000,13.363423,50000
1998-03-02,17.250000,17.250000,17.000000,17.250000,13.267285,75000
1998-03-03,17.125000,17.125000,16.750000,17.125000,13.171142,35000
1998-03-04,15.750000,15.750000,15.500000,15.750000,12.113606,60000
1998-03-05,16.125000,16.125000,16.125000,16.125000,12.402026,400
1998-03-06,16.125000,16.375000,16.125000,16.125000,12.402026,3600
1998-03-09,16.125000,16.500000,15.875000,15.875000,12.209747,3200
1998-03-10,15.875000,16.875000,15.875000,16.250000,12.498163,56800
1998-03-11,16.250000,16.500000,16.125000,16.250000,12.498163,10400
1998-03-12,16.250000,16.375000,16.125000,16.375000,12.594305,3800
1998-03-13,16.500000,16.500000,16.500000,16.500000,12.690446,1000
1998-03-16,16.500000,16.500000,16.125000,16.125000,12.402026,7700
1998-03-17,16.125000,16.125000,15.750000,15.875000,12.209747,28000
1998-03-18,15.875000,16.125000,15.750000,16.125000,12.402026,45700
1998-03-19,16.125000,17.375000,16.000000,17.125000,13.171142,383600
1998-03-20,17.250000,17.750000,17.250000,17.750000,13.651843,275600
1998-03-23,17.750000,19.000000,17.375000,18.875000,14.517097,398600
1998-03-24,18.875000,19.875000,18.875000,19.750000,15.190076,261800
1998-03-25,19.750000,20.125000,19.500000,19.875000,15.286216,135600
1998-03-26,19.875000,19.875000,19.250000,19.625000,15.093935,26300
1998-03-27,19.625000,19.750000,18.375000,19.250000,14.805514,62200
1998-03-30,19.250000,19.875000,19.250000,19.875000,15.286216,49500
1998-03-31,19.875000,20.250000,19.875000,20.125000,15.478498,79000
1998-04-01,20.125000,20.625000,20.000000,20.500000,15.766923,150100
1998-04-02,21.750000,23.375000,21.750000,23.250000,17.881990,140500
1998-04-03,23.250000,26.125000,21.750000,24.750000,19.035667,458700
1998-04-06,24.750000,26.000000,23.000000,24.000000,18.458832,105300
1998-04-07,24.000000,24.000000,22.125000,22.125000,17.016733,152800
1998-04-08,22.125000,23.000000,21.000000,22.500000,17.305151,45100
1998-04-09,22.500000,23.000000,22.250000,23.000000,17.689707,151400
