Date,unemploy
5/6/1955,4.3
6/7/1955,4.2
7/8/1955,4
8/9/1955,4.2
9/7/1955,4.1
10/10/1955,4.3
11/7/1955,4.2
12/7/1955,4.2
1/9/1956,4
2/7/1956,3.9
3/9/1956,4.2
4/9/1956,4
5/8/1956,4.3
6/8/1956,4.3
7/9/1956,4.4
8/8/1956,4.1
9/10/1956,3.9
10/9/1956,3.9
11/8/1956,4.3
12/10/1956,4.2
1/11/1957,4.2
2/8/1957,3.9
3/12/1957,3.7
4/9/1957,3.9
5/10/1957,4.1
6/11/1957,4.3
7/11/1957,4.2
8/12/1957,4.1
9/10/1957,4.4
10/10/1957,4.5
11/8/1957,5.1
12/11/1957,5.2
1/14/1958,5.8
2/11/1958,6.4
3/11/1958,6.7
4/8/1958,7.4
5/8/1958,7.4
6/6/1958,7.3
7/8/1958,7.5
8/8/1958,7.4
9/9/1958,7.1
10/10/1958,6.7
11/10/1958,6.2
12/10/1958,6.2
1/13/1959,6
2/10/1959,5.9
3/11/1959,5.6
4/7/1959,5.2
5/11/1959,5.1
6/10/1959,5
7/14/1959,5.1
8/11/1959,5.2
9/10/1959,5.5
10/13/1959,5.7
11/11/1959,5.8
12/11/1959,5.3
1/15/1960,5.2
2/11/1960,4.8
3/15/1960,5.4
4/12/1960,5.2
5/11/1960,5.1
6/13/1960,5.4
7/12/1960,5.5
8/10/1960,5.6
9/9/1960,5.5
10/10/1960,6.1
11/10/1960,6.1
12/12/1960,6.6
1/13/1961,6.6
2/9/1961,6.9
3/7/1961,6.9
4/4/1961,7
5/2/1961,7.1
5/31/1961,6.9
7/5/1961,7
8/2/1961,6.6
8/29/1961,6.7
10/3/1961,6.5
11/3/1961,6.1
12/7/1961,6
1/9/1962,5.8
1/31/1962,5.5
3/7/1962,5.6
4/6/1962,5.6
5/9/1962,5.5
5/31/1962,5.5
7/5/1962,5.4
8/1/1962,5.7
9/5/1962,5.6
10/4/1962,5.4
10/31/1962,5.7
12/5/1962,5.5
1/10/1963,5.7
1/31/1963,5.9
3/7/1963,5.7
4/4/1963,5.7
5/2/1963,5.9
6/6/1963,5.6
7/5/1963,5.6
8/1/1963,5.4
9/6/1963,5.5
10/3/1963,5.5
10/31/1963,5.7
12/6/1963,5.5
1/10/1964,5.6
2/6/1964,5.4
3/6/1964,5.4
4/3/1964,5.3
5/7/1964,5.1
6/5/1964,5.2
7/2/1964,4.9
8/6/1964,5
9/3/1964,5.1
10/1/1964,5.1
11/5/1964,4.8
12/4/1964,5
1/7/1965,4.9
2/3/1965,5.1
3/4/1965,4.7
4/1/1965,4.8
5/6/1965,4.6
6/3/1965,4.6
7/1/1965,4.4
8/5/1965,4.4
9/2/1965,4.3
10/7/1965,4.2
11/4/1965,4.1
12/2/1965,4
1/7/1966,4
2/8/1966,3.8
3/8/1966,3.8
4/5/1966,3.8
5/6/1966,3.9
6/6/1966,3.8
7/11/1966,3.8
8/8/1966,3.8
9/2/1966,3.7
10/10/1966,3.7
11/4/1966,3.6
12/2/1966,3.8
1/9/1967,3.9
2/9/1967,3.8
3/16/1967,3.8
4/11/1967,3.8
5/9/1967,3.8
6/5/1967,3.9
7/11/1967,3.8
8/8/1967,3.8
9/6/1967,3.8
10/11/1967,4
11/7/1967,3.9
12/13/1967,3.8
1/10/1968,3.7
2/7/1968,3.8
3/12/1968,3.7
4/10/1968,3.5
5/8/1968,3.5
6/12/1968,3.7
7/10/1968,3.7
8/7/1968,3.5
9/11/1968,3.4
10/9/1968,3.4
11/6/1968,3.4
12/11/1968,3.4
1/9/1969,3.4
2/11/1969,3.4
3/10/1969,3.4
4/8/1969,3.4
5/5/1969,3.4
6/9/1969,3.5
7/8/1969,3.5
8/4/1969,3.5
9/8/1969,3.7
10/6/1969,3.7
11/7/1969,3.5
12/5/1969,3.5
1/9/1970,3.9
2/6/1970,4.2
3/6/1970,4.4
4/10/1970,4.6
5/8/1970,4.8
6/5/1970,4.9
7/2/1970,5
8/7/1970,5.1
9/4/1970,5.4
10/2/1970,5.5
11/6/1970,5.9
12/4/1970,6.1
1/8/1971,5.9
2/5/1971,5.9
3/5/1971,6
4/2/1971,5.9
5/7/1971,5.9
6/4/1971,5.9
7/2/1971,6
8/6/1971,6.1
9/3/1971,6
10/8/1971,5.8
11/5/1971,6
12/3/1971,6
1/7/1972,5.8
2/4/1972,5.7
3/3/1972,5.8
4/7/1972,5.7
5/5/1972,5.7
6/2/1972,5.7
7/7/1972,5.6
8/4/1972,5.6
9/1/1972,5.5
10/6/1972,5.6
11/3/1972,5.3
12/8/1972,5.2
1/5/1973,4.9
2/2/1973,5
3/9/1973,4.9
4/6/1973,5
5/4/1973,4.9
6/1/1973,4.9
7/6/1973,4.8
8/3/1973,4.8
9/7/1973,4.8
10/5/1973,4.6
11/2/1973,4.8
12/7/1973,4.9
1/4/1974,5.1
2/1/1974,5.2
3/8/1974,5.1
4/5/1974,5.1
5/3/1974,5.1
6/7/1974,5.4
7/5/1974,5.5
8/2/1974,5.5
9/6/1974,5.9
10/4/1974,6
11/1/1974,6.6
12/6/1974,7.2
1/3/1975,8.1
2/7/1975,8.1
3/7/1975,8.6
4/4/1975,8.8
5/2/1975,9
6/6/1975,8.8
7/3/1975,8.6
8/1/1975,8.4
9/5/1975,8.4
10/3/1975,8.4
11/7/1975,8.3
12/5/1975,8.2
1/9/1976,7.9
2/6/1976,7.7
3/5/1976,7.6
4/2/1976,7.7
5/7/1976,7.4
6/4/1976,7.6
7/2/1976,7.8
8/6/1976,7.8
9/3/1976,7.6
10/8/1976,7.7
11/5/1976,7.8
12/3/1976,7.8
1/12/1977,7.5
2/4/1977,7.6
3/4/1977,7.4
4/1/1977,7.2
5/6/1977,7
6/3/1977,7.2
7/8/1977,6.9
8/5/1977,7
9/2/1977,6.8
10/7/1977,6.8
11/4/1977,6.8
12/2/1977,6.4
1/11/1978,6.4
2/3/1978,6.3
3/10/1978,6.3
4/7/1978,6.1
5/5/1978,6
6/2/1978,5.9
7/7/1978,6.2
8/4/1978,5.9
9/1/1978,6
10/6/1978,5.8
11/3/1978,5.9
12/8/1978,6
1/12/1979,5.9
2/2/1979,5.9
3/9/1979,5.8
4/6/1979,5.8
5/4/1979,5.6
6/1/1979,5.7
7/6/1979,5.7
8/3/1979,6
9/7/1979,5.9
10/5/1979,6
11/2/1979,5.9
12/7/1979,6
1/11/1980,6.3
2/1/1980,6.3
3/7/1980,6.3
4/4/1980,6.9
5/2/1980,7.5
6/6/1980,7.6
7/3/1980,7.8
8/1/1980,7.7
9/5/1980,7.5
10/3/1980,7.5
11/7/1980,7.5
12/5/1980,7.2
1/9/1981,7.5
2/6/1981,7.4
3/6/1981,7.4
4/3/1981,7.2
5/8/1981,7.5
6/5/1981,7.5
7/2/1981,7.2
8/7/1981,7.4
9/4/1981,7.6
10/2/1981,7.9
11/6/1981,8.3
12/4/1981,8.5
1/8/1982,8.6
2/5/1982,8.9
3/5/1982,9
4/2/1982,9.3
5/7/1982,9.4
6/4/1982,9.6
7/2/1982,9.8
8/6/1982,9.8
9/3/1982,10.1
10/8/1982,10.4
11/5/1982,10.8
12/3/1982,10.8
